Year,Constituency_No,Position,Candidate,Party,Votes,Constituency_Name,Vote_Share_Percentage,Margin_Percentage,rural_per
2012,20,3,RAJPUT KIRITKUMAR LAXMANSIGH,IND,4515,KHERALU,3.56,2.12,92.06421868
2012,20,4,PRAVINBHAI JECHANDBHAI PATEL,GPP,1826,KHERALU,1.44,0.26,92.06421868
2012,20,5,MAKVANA ARVINDBHAI MAFATLAL,BSP,1494,KHERALU,1.18,0.46,92.06421868
2012,20,6,THAKOR RANCHHODJI PUNJAJI,SVPP,908,KHERALU,0.72,0,92.06421868
2012,21,1,NARAYANBHAI LALLUDAS PATEL,BJP,75708,UNJHA,55.77,17.83,68.72460426
2012,21,2,DR. ASHA PATEL,INC,51507,UNJHA,37.94,35.18,68.72460426
2012,21,3,AMBALAL TALASHIBHAI PATEL,IND,3749,UNJHA,2.76,1.51,68.72460426
2012,21,4,CHAMAR SHAILESHKUMAR SHANKARBHAI,BSP,1696,UNJHA,1.25,0.47,68.72460426
2012,21,5,CHAUHAN KANUBHAI NATHTHUBHAI,LJP,1059,UNJHA,0.78,0.2,68.72460426
2012,21,6,KANUNGA BHANVARLAL CHAMPALAL,IND,790,UNJHA,0.58,0.06,68.72460426
2012,21,7,THAKOR BHARATJI BABUJI,IND,705,UNJHA,0.52,0.13,68.72460426
2012,21,8,CHIRAGKUMAR SATISHBHAI PATEL,SP,530,UNJHA,0.39,0,68.72460426
2012,22,1,RUSHIKESH GANESHBHAI PATEL,BJP,76185,VISNAGAR,54,20.84,70.73244206
2012,22,2,BHOLABHAI CHATURBHAI PATEL,NCP,46786,VISNAGAR,33.16,25.88,70.73244206
2012,22,3,THAKOR AJMELJI KESHAJI,IND,10274,VISNAGAR,7.28,5.81,70.73244206
2012,22,4,DAVE HITENDRAKUMAR NARENDRABHAI,BSP,2078,VISNAGAR,1.47,0.57,70.73244206
2012,22,5,CHAUHAN ISUBKHAN SHERKHAN,IND,1272,VISNAGAR,0.9,0.08,70.73244206
2012,22,6,CHAVDA BHARATJI PRAHLADJI,SP,1154,VISNAGAR,0.82,0.03,70.73244206
2012,22,7,PARMAR DAHYABHAI BHAGABHAI,LJP,1109,VISNAGAR,0.79,0.09,70.73244206
2012,22,8,THAKOR MAGANSINH BECHARSINH,GPP,981,VISNAGAR,0.7,0.19,70.73244206
2012,22,9,CHAUDHARY BHARATBHAI GHEMARBHAI,RLD,720,VISNAGAR,0.51,0.15,70.73244206
2012,22,10,JAYANTIBHAI REVABHAI PATEL,JD(U),514,VISNAGAR,0.36,0,70.73244206
2012,23,1,RAJANIKANT SOMABHAI PATEL,BJP,68447,BECHARAJI,44.74,4.22,94.37671156
2012,23,2,DARBAR RAJENDRASINH UDESINHJI,INC,61991,BECHARAJI,40.52,31.37,94.37671156
2012,23,3,KIRITKUMAR DAHYABHAI PATEL,GPP,13998,BECHARAJI,9.15,6.47,94.37671156
